Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
65,Hyundai,i10,2017,Petrol,Automatic,667556.6,21.1,998,5,2758.56
66,Kia,Carnival,2019,Petrol,Manual,3370603.6,14.1,2199,7,11362.07
67,Skoda,Rapid,2018,Petrol,Manual,936879.85,16.4,1197,5,5296.7
68,Renault,Duster,2023,Petrol,Manual,1140230.84,14.3,1461,5,4856.03
69,Skoda,Kushaq,2018,CNG,Manual,1680236.58,15.6,1498,5,7128.31
70,Toyota,Fortuner,2018,Petrol,Manual,3974421.91,14.1,2755,7,12925.29
71,Maruti Suzuki,Ertiga,2024,Petrol,Manual,1110060.9,18.7,1462,7,6244.92
72,Mahindra,Scorpio-N,2023,Petrol,Manual,2066677.69,16.5,2184,7,7304.46
73,Volkswagen,Taigun,2017,Petrol,Automatic,1831289.8,17.5,1498,5,6434.81
74,Kia,EV6,2015,Diesel,Manual,6228737.52,513.6,2397,5,10047.55
75,Toyota,Camry,2018,Diesel,Automatic,4336804.24,17.8,2487,5,9131.15
76,Renault,Kiger,2018,Petrol,Automatic,836841.97,18.9,999,5,3757.97
77,Mahindra,XUV700,2016,Petrol,Automatic,2356801.93,16.4,1997,5,6301.48
78,Honda,Jazz,2019,Petrol,Manual,925727.21,16.3,1199,5,3868.05
79,Honda,WR-V,2016,Petrol,Automatic,918798.15,18.7,1199,5,3782.51
80,Toyota,Glanza,2019,Petrol,Manual,843955.32,19.5,1197,5,3941.78
81,Hyundai,Creta,2021,Petrol,Manual,1554138.59,16.8,1497,5,6019.59
82,Skoda,Slavia,2021,Petrol,Manual,1684025.79,15.9,1498,5,5834.68
83,Renault,Lodgy,2020,Petrol,Manual,1090236.1,20.2,1461,7,4704.49
84,Tata Motors,Nexon,2022,Petrol,Automatic,1180451.11,19.3,1497,5,5133.11
85,Renault,Triber,2018,Petrol,Automatic,908081.58,17.1,999,7,4458.67
86,Maruti Suzuki,WagonR,2015,Diesel,Manual,730233.18,24.5,998,5,2682.68
87,Volkswagen,Taigun,2021,Petrol,Manual,1711751.63,15.1,1498,5,6028.74
88,Honda,Jazz,2020,Electric,Manual,938288.25,16.5,1199,5,4311.8
89,Kia,EV6,2023,Diesel,Automatic,6475901.76,502.8,2397,5,14123.02
90,Tata Motors,Tiago,2015,Diesel,Manual,580938.89,20.6,1199,5,3076.82
91,Hyundai,i10,2022,Petrol,Automatic,771877.92,20.1,998,5,2446.33
92,Skoda,Rapid,2016,Diesel,Automatic,953829.29,15.4,1197,5,5102.44
93,Honda,Amaze,2023,Petrol,Manual,858192.39,21.7,1199,5,4366.3
94,Mahindra,XUV700,2024,Petrol,Automatic,2266146.84,15.3,1997,5,6278.51
95,Hyundai,Venue,2024,CNG,Automatic,962281.83,20.0,998,5,4709.67
96,Renault,Kiger,2024,Petrol,Manual,737871.01,20.1,999,5,3463.18
97,Hyundai,i10,2016,Petrol,Manual,723127.74,19.4,998,5,2574.33
98,Hyundai,Creta,2022,Petrol,Automatic,1132495.67,16.2,1497,5,6877.62
99,Skoda,Slavia,2022,Diesel,Automatic,1104360.37,17.0,1498,5,5121.87
100,Tata Motors,Harrier,2021,Diesel,Manual,2152924.4,15.5,2184,7,8094.4
101,Volkswagen,Polo,2019,Petrol,Automatic,849283.34,17.2,999,5,3638.96
102,Hyundai,Creta,2016,Petrol,Automatic,1609414.88,16.3,1497,5,5347.3
103,Toyota,Innova Crysta,2019,Diesel,Manual,2324128.56,14.4,2393,7,8536.08
104,Maruti Suzuki,Dzire,2017,CNG,Manual,725473.38,20.9,1197,5,4100.82
105,Toyota,Urban Cruiser,2015,Diesel,Automatic,1129342.45,18.5,1462,5,3745.59
106,Toyota,Glanza,2016,Electric,Automatic,734777.58,19.9,1197,5,3975.16
107,Honda,Jazz,2017,Petrol,Automatic,754600.69,18.1,1199,5,4478.77
108,Maruti Suzuki,Dzire,2018,Petrol,Manual,1031031.29,21.9,1197,5,4731.35
109,Toyota,Glanza,2016,Diesel,Manual,721655.07,20.0,1197,5,3589.87
110,Kia,Carnival,2022,Petrol,Manual,2460132.17,13.7,2199,7,8967.92
111,Hyundai,i10,2018,CNG,Manual,630123.37,19.5,998,5,3091.11
112,Kia,EV6,2018,Diesel,Manual,6052629.81,501.4,2397,5,13114.19
113,Honda,Amaze,2020,Petrol,Automatic,863583.14,19.5,1199,5,3361.59
114,Honda,Jazz,2020,Diesel,Automatic,808551.04,16.1,1199,5,4485.02
115,Skoda,Superb,2018,Petrol,Automatic,3590641.35,14.3,1984,5,9196.21
116,Tata Motors,Harrier,2017,Diesel,Automatic,2268376.16,15.6,2184,7,7732.35
117,Toyota,Urban Cruiser,2018,Diesel,Automatic,943157.88,17.5,1462,5,2924.2
118,Skoda,Rapid,2016,Diesel,Manual,1001295.73,15.3,1197,5,4819.67
119,Kia,EV6,2021,Petrol,Automatic,6011345.86,507.5,2397,5,10404.98
120,Mahindra,XUV700,2017,Petrol,Automatic,1859212.43,16.2,1997,5,7478.16
121,Renault,Kiger,2020,Petrol,Manual,963883.47,20.1,999,5,4519.12
122,Skoda,Rapid,2020,Petrol,Manual,892303.77,16.9,1197,5,4358.12
123,Hyundai,Verna,2018,Petrol,Manual,1403235.31,18.4,1497,5,6059.14
124,Kia,Carnival,2015,Petrol,Manual,2828947.76,14.3,2199,7,9920.3
125,Mahindra,XUV700,2024,Petrol,Automatic,2033698.16,16.8,1997,5,6173.28
126,Tata Motors,Tiago,2018,Petrol,Manual,758888.91,22.3,1199,5,2604.19
127,Tata Motors,Nexon,2021,Electric,Automatic,1244697.82,19.0,1497,5,4706.59
128,Honda,Amaze,2022,Petrol,Manual,833816.03,21.8,1199,5,3476.21
129,Kia,EV6,2019,Petrol,Manual,6419505.11,515.5,2397,5,12005.01
130,Kia,Sonet,2019,Diesel,Automatic,1334323.66,20.2,998,5,4216.41
131,Mahindra,Bolero,2016,Petrol,Manual,1059299.22,15.5,1493,7,5193.45
132,Mahindra,Bolero,2023,Petrol,Manual,1118615.76,16.6,1493,7,4680.08
133,Kia,Carnival,2023,Petrol,Manual,3349228.48,15.6,2199,7,10413.33
134,Honda,City,2020,Petrol,Automatic,1211894.88,17.2,1498,5,5551.66
135,Mahindra,Bolero,2021,Diesel,Manual,1149709.91,16.5,1493,7,5052.73
136,Maruti Suzuki,WagonR,2017,Petrol,Automatic,740486.5,24.0,998,5,2617.32
137,Renault,Kwid,2024,Petrol,Manual,641394.57,22.7,999,5,2892.2
138,Toyota,Urban Cruiser,2018,Petrol,Automatic,987240.65,17.7,1462,5,2667.41
139,Skoda,Rapid,2023,Petrol,Automatic,879628.73,15.6,1197,5,3978.56
140,Mahindra,Scorpio-N,2017,Electric,Manual,2366960.71,16.1,2184,7,6649.38
141,Skoda,Rapid,2023,Diesel,Automatic,1026959.14,17.9,1197,5,4228.8
142,Tata Motors,Altroz,2022,Petrol,Automatic,1054340.46,19.3,1199,5,3559.01
143,Mahindra,Scorpio-N,2023,Petrol,Manual,2420585.4,14.7,2184,7,8591.69
144,Maruti Suzuki,Swift,2024,Diesel,Manual,859554.19,23.4,1197,5,3366.02
145,Skoda,Rapid,2019,Petrol,Automatic,977973.23,15.7,1197,5,4586.85
146,Tata Motors,Punch,2017,Diesel,Automatic,875604.49,20.9,1199,5,3379.71
147,Toyota,Urban Cruiser,2024,CNG,Manual,1193605.19,18.5,1462,5,3708.1
148,Tata Motors,Punch,2018,Diesel,Automatic,688531.38,21.8,1199,5,3975.37
149,Honda,Amaze,2019,Diesel,Manual,709856.59,19.3,1199,5,4327.43
150,Mahindra,Thar,2016,Diesel,Automatic,1455227.25,14.8,2184,4,7114.38
151,Hyundai,i10,2018,Petrol,Automatic,637912.78,18.2,998,5,2819.98
152,Renault,Duster,2019,Diesel,Manual,1085405.72,14.5,1461,5,4382.7
153,Honda,City,2018,Petrol,Automatic,1598275.39,18.3,1498,5,5550.05
154,Honda,Civic,2022,Diesel,Manual,1723391.66,15.7,1799,5,5490.08
155,Skoda,Slavia,2019,Electric,Automatic,1166378.94,16.9,1498,5,5762.85
156,Kia,Seltos,2016,Diesel,Automatic,1827710.03,17.9,1497,5,6488.88
157,Skoda,Superb,2022,Petrol,Automatic,3353926.5,15.1,1984,5,8208.84
158,Mahindra,XUV700,2016,CNG,Automatic,2089369.96,17.7,1997,5,8154.2
159,Hyundai,i10,2019,Diesel,Manual,707227.49,20.1,998,5,2933.7
160,Hyundai,Venue,2022,Petrol,Automatic,1190177.69,18.7,998,5,4392.79
161,Honda,WR-V,2023,Diesel,Automatic,1089775.84,20.7,1199,5,3204.21
162,Mahindra,XUV700,2024,Petrol,Automatic,1646355.48,16.8,1997,5,6426.76
163,Maruti Suzuki,WagonR,2023,Diesel,Automatic,703574.38,24.2,998,5,3122.51
164,Tata Motors,Altroz,2022,Petrol,Automatic,1092868.84,20.8,1199,5,3251.66
165,Skoda,Slavia,2015,Petrol,Automatic,1706396.82,17.6,1498,5,7042.19
166,Skoda,Rapid,2023,Petrol,Automatic,974647.82,15.4,1197,5,4491.72
167,Maruti Suzuki,WagonR,2023,Petrol,Manual,747123.92,23.1,998,5,3065.28
168,Mahindra,Thar,2024,Petrol,Automatic,1636949.63,15.9,2184,4,6389.91
169,Skoda,Superb,2020,Diesel,Manual,3428483.0,14.7,1984,5,8859.57
170,Maruti Suzuki,Ertiga,2022,Petrol,Manual,993074.65,20.6,1462,7,5345.4
171,Tata Motors,Tiago,2018,Petrol,Manual,726715.63,22.5,1199,5,3604.03
172,Tata Motors,Harrier,2024,Petrol,Manual,1792330.11,15.4,2184,7,6432.0
173,Mahindra,XUV700,2021,Petrol,Manual,2618022.82,17.3,1997,5,7630.76
174,Skoda,Rapid,2021,Petrol,Automatic,934958.32,17.8,1197,5,3897.38
175,Hyundai,Verna,2023,Petrol,Manual,1573520.3,19.2,1497,5,5787.6
176,Maruti Suzuki,Ertiga,2016,Petrol,Automatic,949776.54,18.8,1462,7,5939.16
177,Mahindra,XUV700,2021,Petrol,Manual,2632218.0,17.7,1997,5,6070.3
178,Mahindra,Scorpio-N,2016,Petrol,Manual,2147483.64,16.3,2184,7,7733.46
179,Renault,Duster,2021,Diesel,Manual,1231702.63,14.4,1461,5,4789.14
180,Tata Motors,Altroz,2024,Petrol,Manual,1046091.91,20.6,1199,5,4043.06
181,Hyundai,Verna,2024,Petrol,Automatic,1438315.21,19.8,1497,5,6092.14
182,Kia,Sonet,2023,Diesel,Manual,1370785.77,20.4,998,5,4623.16
183,Toyota,Fortuner,2019,Diesel,Automatic,3427078.38,14.6,2755,7,11902.02
184,Tata Motors,Punch,2022,Petrol,Manual,942155.4,19.2,1199,5,3389.32
185,Skoda,Kushaq,2015,Petrol,Manual,1275326.73,15.7,1498,5,7507.91
186,Honda,Amaze,2019,Diesel,Automatic,799385.45,20.6,1199,5,3996.89
187,Mahindra,XUV700,2015,Diesel,Manual,1591105.7,16.0,1997,5,8211.53
188,Skoda,Octavia,2021,Electric,Manual,3097860.89,14.8,1968,5,8427.73
189,Tata Motors,Harrier,2016,Petrol,Automatic,2262635.87,15.0,2184,7,7296.09
190,Hyundai,Venue,2017,Diesel,Automatic,1092659.26,20.3,998,5,3658.61
191,Volkswagen,Taigun,2016,Petrol,Manual,1515764.97,15.2,1498,5,7326.23
192,Tata Motors,Harrier,2019,Petrol,Manual,2164747.98,15.7,2184,7,6168.86
193,Honda,Jazz,2022,Electric,Manual,949693.28,16.8,1199,5,4032.87
194,Toyota,Camry,2020,Diesel,Automatic,4065215.86,16.3,2487,5,8551.4
195,Kia,Carens,2015,Petrol,Automatic,1329288.59,16.8,1497,7,7432.13
196,Honda,City,2024,Petrol,Automatic,1373662.44,18.8,1498,5,4926.54
197,Hyundai,i20,2018,Electric,Automatic,1004920.02,20.7,1197,5,4397.38
198,Skoda,Superb,2021,CNG,Automatic,3430209.11,15.0,1984,5,10490.29
199,Hyundai,i10,2021,Petrol,Automatic,743872.85,20.5,998,5,2184.38
200,Tata Motors,Altroz,2018,Diesel,Manual,860166.8,19.8,1199,5,3874.62
201,Mahindra,XUV300,2018,Diesel,Manual,1192216.39,19.8,1197,5,5172.96
202,Maruti Suzuki,Baleno,2019,Petrol,Manual,728199.51,21.5,1197,5,3342.48
203,Mahindra,Bolero,2022,CNG,Manual,1038337.62,15.8,1493,7,4729.18
204,Tata Motors,Tiago,2015,Diesel,Manual,579120.35,22.8,1199,5,3265.55
205,Renault,Kiger,2023,Diesel,Manual,1140896.19,19.7,999,5,3780.86
206,Maruti Suzuki,Ertiga,2022,Petrol,Automatic,1160572.49,20.7,1462,7,4591.95
207,Toyota,Camry,2018,Petrol,Automatic,4575781.63,16.4,2487,5,9396.57
208,Kia,Seltos,2018,Petrol,Manual,1471893.31,18.5,1497,5,5093.35
209,Tata Motors,Altroz,2024,Diesel,Manual,1031634.07,18.3,1199,5,3567.82
210,Renault,Kiger,2018,Petrol,Automatic,1126146.09,18.1,999,5,3346.26
211,Toyota,Urban Cruiser,2016,Petrol,Automatic,1012261.58,17.1,1462,5,2814.94
212,Hyundai,Venue,2017,Diesel,Manual,1016625.97,18.9,998,5,4983.21
213,Skoda,Octavia,2018,Petrol,Manual,2861916.72,15.6,1968,5,7477.8
214,Hyundai,i10,2017,Petrol,Automatic,584271.18,21.4,998,5,2728.29
215,Hyundai,Creta,2015,Petrol,Automatic,1162347.41,16.4,1497,5,6029.2
216,Skoda,Slavia,2018,Diesel,Manual,1406062.42,17.0,1498,5,4915.8
217,Renault,Duster,2018,Diesel,Manual,1391359.37,15.4,1461,5,4514.24
218,Volkswagen,Vento,2024,Electric,Manual,1056342.44,16.7,1598,5,5067.15
219,Hyundai,i10,2018,Petrol,Manual,652132.27,19.6,998,5,2239.34
220,Mahindra,Bolero,2017,Diesel,Automatic,1175652.65,16.3,1493,7,5807.19
221,Toyota,Innova Crysta,2018,Petrol,Automatic,2047804.57,14.9,2393,7,8843.25
222,Kia,Carens,2018,Petrol,Automatic,1112964.21,16.3,1497,7,6478.5
223,Renault,Kwid,2023,Petrol,Automatic,696654.84,23.9,999,5,2448.18
224,Toyota,Fortuner,2018,Petrol,Manual,3640199.62,13.5,2755,7,13736.37
225,Tata Motors,Altroz,2017,Diesel,Manual,929925.77,18.7,1199,5,3255.69
226,Volkswagen,Polo,2022,Petrol,Automatic,855799.44,18.3,999,5,4509.33
227,Mahindra,XUV700,2016,Diesel,Manual,2509999.29,15.3,1997,5,7745.48
228,Kia,EV6,2022,Diesel,Automatic,6267490.68,503.2,2397,5,13077.65
229,Maruti Suzuki,Swift,2021,Petrol,Automatic,740992.04,23.7,1197,5,4117.93
230,Skoda,Octavia,2015,Petrol,Automatic,2499607.57,14.4,1968,5,10392.06
231,Skoda,Octavia,2016,Petrol,Manual,2828535.16,14.5,1968,5,10037.96
232,Honda,City,2022,Petrol,Manual,1358761.17,18.2,1498,5,4514.13
233,Tata Motors,Harrier,2022,Diesel,Manual,2088127.91,16.7,2184,7,6693.75
234,Honda,Jazz,2024,Petrol,Automatic,944026.56,18.4,1199,5,4638.78
235,Renault,Kwid,2019,Petrol,Manual,553513.14,22.1,999,5,2275.03
236,Tata Motors,Harrier,2022,Petrol,Automatic,2060715.71,16.4,2184,7,8155.33
237,Kia,Carnival,2016,Petrol,Automatic,2767016.06,14.0,2199,7,9409.68
238,Toyota,Glanza,2021,Petrol,Manual,856666.94,19.9,1197,5,3200.73
239,Maruti Suzuki,Dzire,2023,Petrol,Automatic,980916.49,21.5,1197,5,3897.82
240,Tata Motors,Punch,2022,Petrol,Manual,744326.28,19.1,1199,5,3230.22
241,Tata Motors,Punch,2017,Petrol,Automatic,856763.22,21.9,1199,5,4165.23
242,Hyundai,i10,2018,Petrol,Manual,637614.69,19.7,998,5,2919.37
243,Kia,Carens,2022,Petrol,Manual,1609705.27,16.8,1497,7,6710.37
244,Skoda,Octavia,2016,Petrol,Manual,2855352.74,14.3,1968,5,7707.81
245,Tata Motors,Nexon,2023,Diesel,Manual,1217902.51,18.2,1497,5,5333.3
246,Hyundai,i10,2020,Diesel,Automatic,604269.28,20.7,998,5,2717.28
247,Tata Motors,Harrier,2023,Petrol,Automatic,2270578.15,17.9,2184,7,8124.67
248,Toyota,Glanza,2023,CNG,Manual,781257.35,21.0,1197,5,3191.76
249,Hyundai,Creta,2024,Petrol,Automatic,1333533.39,16.6,1497,5,6297.94
250,Toyota,Fortuner,2021,Diesel,Manual,4834954.78,14.3,2755,7,11748.4
251,Kia,Carnival,2020,Petrol,Automatic,3195247.75,13.2,2199,7,13092.05
252,Kia,Carnival,2016,Petrol,Automatic,2501866.67,15.7,2199,7,10805.14
253,Mahindra,XUV300,2018,Petrol,Manual,996930.01,17.4,1197,5,5073.08
254,Toyota,Camry,2023,Petrol,Manual,4561908.19,17.1,2487,5,9341.18
255,Toyota,Fortuner,2023,Petrol,Manual,3842966.07,13.5,2755,7,11885.94
256,Skoda,Octavia,2024,Petrol,Automatic,2742601.7,14.1,1968,5,7409.15
257,Renault,Kiger,2019,Petrol,Manual,1131346.86,18.1,999,5,3631.56
258,Volkswagen,Polo,2017,Petrol,Automatic,1196609.87,18.9,999,5,3863.38
259,Tata Motors,Nexon,2016,Petrol,Automatic,1423562.01,18.2,1497,5,3992.41
260,Hyundai,i20,2024,Petrol,Automatic,977666.2,20.2,1197,5,3963.85
261,Hyundai,Verna,2024,Petrol,Manual,1294062.84,17.5,1497,5,6044.81
262,Volkswagen,Taigun,2017,Petrol,Automatic,1649535.94,16.6,1498,5,6288.21
263,Renault,Kwid,2023,Diesel,Automatic,584398.34,24.4,999,5,2481.02
264,Hyundai,i20,2016,CNG,Manual,1075043.93,19.4,1197,5,4373.03
265,Skoda,Slavia,2015,Petrol,Automatic,1130981.19,15.1,1498,5,5898.82
266,Skoda,Kushaq,2022,Petrol,Automatic,1267417.73,16.1,1498,5,5508.67
267,Maruti Suzuki,Ertiga,2024,Diesel,Manual,1217211.27,19.4,1462,7,5594.97
268,Skoda,Slavia,2015,Petrol,Automatic,1773625.63,18.3,1498,5,6169.82
269,Renault,Duster,2023,Petrol,Automatic,977344.95,14.1,1461,5,5133.87
270,Mahindra,Scorpio-N,2019,Petrol,Automatic,2396903.74,14.9,2184,7,8442.25
271,Tata Motors,Harrier,2018,Diesel,Automatic,1511534.24,15.9,2184,7,8103.21
272,Mahindra,Scorpio-N,2017,Petrol,Manual,1676960.81,14.1,2184,7,7272.3
273,Hyundai,i20,2023,Electric,Automatic,991439.92,20.3,1197,5,4031.74
274,Renault,Kwid,2021,Petrol,Automatic,593080.29,24.1,999,5,2786.76
275,Renault,Kwid,2016,Petrol,Manual,609434.56,22.2,999,5,2628.37
276,Maruti Suzuki,Dzire,2021,Diesel,Manual,1009168.15,22.3,1197,5,4416.96
277,Volkswagen,Vento,2016,Petrol,Automatic,1283736.81,17.3,1598,5,4561.46
278,Honda,Civic,2023,Petrol,Manual,1901350.67,16.0,1799,5,5981.89
279,Tata Motors,Altroz,2024,Petrol,Automatic,862258.15,18.4,1199,5,3363.67
280,Renault,Duster,2023,Petrol,Manual,1186761.35,15.6,1461,5,3643.98
281,Renault,Triber,2020,Diesel,Automatic,845191.64,17.2,999,7,4559.57
282,Toyota,Innova Crysta,2015,Petrol,Automatic,2006327.54,15.4,2393,7,7185.14
283,Toyota,Urban Cruiser,2023,Petrol,Automatic,977960.12,18.0,1462,5,3182.2
284,Volkswagen,Vento,2015,Petrol,Automatic,1079858.55,16.8,1598,5,4097.39
285,Volkswagen,Virtus,2021,Petrol,Automatic,1359692.52,18.0,1498,5,5676.9
286,Hyundai,Verna,2017,Diesel,Automatic,1361906.77,18.9,1497,5,6029.32
287,Kia,Carnival,2016,Petrol,Manual,2412505.13,15.9,2199,7,10842.7
288,Mahindra,Scorpio-N,2018,Petrol,Automatic,1827039.3,16.6,2184,7,7200.9
289,Tata Motors,Tiago,2017,Diesel,Manual,647727.65,22.5,1199,5,3579.08
290,Kia,Seltos,2020,Petrol,Manual,1806219.98,16.6,1497,5,5459.08
291,Honda,WR-V,2015,Petrol,Automatic,1057010.17,19.5,1199,5,3912.47
292,Kia,EV6,2018,Petrol,Automatic,6111942.29,505.8,2397,5,12025.36
293,Volkswagen,Taigun,2017,Petrol,Manual,1190862.76,16.9,1498,5,7357.53
294,Volkswagen,Vento,2017,Petrol,Manual,1109787.72,19.0,1598,5,5106.9
295,Maruti Suzuki,Dzire,2020,Petrol,Automatic,954060.63,20.3,1197,5,4291.72
296,Hyundai,Venue,2023,Petrol,Automatic,1116336.73,19.0,998,5,3817.94
297,Kia,Sonet,2017,Petrol,Automatic,1129280.52,20.0,998,5,3754.37
298,Mahindra,Scorpio-N,2019,Petrol,Manual,1923490.12,14.3,2184,7,6927.04
299,Renault,Triber,2017,Petrol,Manual,868114.22,19.0,999,7,4579.0
300,Tata Motors,Punch,2023,Petrol,Automatic,915168.79,21.1,1199,5,4132.81
301,Tata Motors,Harrier,2019,Petrol,Manual,1799664.46,16.3,2184,7,6369.62
302,Kia,Carens,2015,Petrol,Manual,1636763.73,17.3,1497,7,6159.9
303,Kia,EV6,2017,Petrol,Automatic,6438464.34,521.0,2397,5,10847.56
304,Volkswagen,Vento,2023,Petrol,Automatic,1160105.76,18.5,1598,5,5388.67
305,Renault,Kwid,2015,Petrol,Manual,476365.6,23.8,999,5,2761.44
306,Tata Motors,Punch,2017,Petrol,Automatic,817044.4,20.6,1199,5,4402.53
307,Toyota,Glanza,2021,Petrol,Automatic,859859.37,19.5,1197,5,3259.71
308,Toyota,Fortuner,2021,Petrol,Automatic,4226584.08,14.2,2755,7,10717.19
309,Mahindra,XUV300,2018,Diesel,Manual,906617.52,19.7,1197,5,3527.79
310,Renault,Kwid,2021,Diesel,Automatic,690071.51,23.5,999,5,2400.05
311,Tata Motors,Altroz,2019,Petrol,Manual,752592.03,18.5,1199,5,3369.39
312,Tata Motors,Harrier,2019,Diesel,Automatic,2278137.52,15.8,2184,7,8219.55
